"",3171,34695668,,
26,21.49,34715428,,
26,21.30,34735188,,
26,21.15,34754948,,
26,21.61,34774708,,
26,21.41,34794468,,
26,21.24,3426,0.00,28
26,0.00,596,,
26,0.00,1212,,
26,0.00,1876,,
26,0.00,2544,,
26,0.00,3208,,
26,0.00,16868,,
26,1.50,32468,,
26,3.52,48068,,
26,5.26,63668,,
26,7.48,79268,,
26,9.39,94868,,
26,11.01,110476,,
26,12.22,128148,,
26,13.08,145828,,
26,13.81,163508,,
26,15.10,181188,,
26,16.20,198868,,
26,16.47,216548,,
26,17.37,234228,,
26,18.14,251912,,
26,18.79,269588,,
26,19.35,287268,,
26,19.17,304948,,
26,19.67,322628,,
26,20.10,340308,,
26,19.81,357988,,
26,20.22,375668,,
26,20.57,393348,,
26,20.21,411028,,
26,20.56,428708,,
26,20.86,446388,,
26,20.46,464068,,
26,20.78,481748,,
26,21.05,499428,,
26,21.28,517108,,
26,21.47,534788,,
26,20.98,552468,,
26,21.22,570148,,
26,21.42,587828,,
26,20.94,605508,,
26,21.18,623188,,
26,21.39,640868,,
26,20.91,658548,,
26,21.16,676228,,
26,21.38,693908,,
26,21.56,711588,,
26,21.71,729268,,
26,21.19,746948,,
26,21.40,764628,,
26,21.57,782308,,
26,21.07,799988,,
26,21.29,817668,,
26,21.49,835348,,
26,20.99,853028,,
26,21.23,870708,,
26,21.43,888388,,
26,20.95,906068,,
26,21.19,923748,,
26,21.40,941428,,
26,21.58,959108,,
26,21.73,976788,,
26,21.20,994468,,
26,21.41,1012148,,
26,21.51,1030868,,
26,21.49,1049588,,
26,21.47,1068308,,
26,21.46,1087028,,
26,21.44,1105748,,
26,21.43,1124468,,
26,21.42,1143188,,
26,21.41,1161908,,
26,21.41,1180628,,
26,21.40,1199348,,
26,21.40,1218068,,
26,21.39,1236788,,
26,21.39,1255508,,
26,21.38,1274228,,
26,21.38,1292948,,
26,21.38,1311668,,
26,21.38,1330388,,
26,21.38,1349108,,
26,21.37,1367828,,
26,21.37,1386548,,
26,21.37,1405268,,
26,21.37,1423988,,
26,21.37,1442708,,
26,21.37,1461428,,
26,21.37,1480148,,
26,21.37,1498868,,
26,21.37,1517588,,
26,21.37,1536308,,
26,21.37,1555028,,
26,21.37,1573748,,
