100,0,28,,,kp,ki,kd
100,0,1072,,,5.7264,52.5646,0.1559
100,0,2196,,,,,
100,0,3312,,,,,
100,0,5660,,,,,
100,5.61,24380,,,,,
100,20.46,44140,,,,,
100,40.43,64940,,,,,
100,62.61,85740,,,,,
100,84.91,106540,,,,,
100,105.37,128380,,,,,
100,121.88,151260,,,,,
100,130.12,174140,,,,,
100,129.5,197020,,,,,
100,123.35,219900,,,,,
100,116.57,242780,,,,,
100,112.82,265660,,,,,
100,110.64,288540,,,,,
100,109.29,311420,,,,,
100,108.14,334300,,,,,
100,106.13,357180,,,,,
100,104.42,380060,,,,,
100,102.96,402940,,,,,
100,101.71,425820,,,,,
100,101.15,448700,,,,,
100,101.19,471580,,,,,
100,101.22,494460,,,,,
100,100.73,517340,,,,,
100,100.32,540220,,,,,
100,100.47,563100,,,,,
100,100.61,585980,,,,,
100,100.21,608860,,,,,
100,99.87,631740,,,,,
100,99.92,653580,,,,,
100,99.77,675420,,,,,
100,99.65,697260,,,,,
100,100.07,719100,,,,,
100,100.09,741980,,,,,
100,100.28,764860,,,,,
100,100.44,787740,,,,,
100,100.07,810620,,,,,
100,99.75,833500,,,,,
100,99.29,855340,,,,,
100,99.77,877180,,,,,
100,100.71,899020,,,,,
100,100.64,921900,,,,,
100,99.73,944780,,,,,
100,99.29,966620,,,,,
100,99.77,988460,,,,,
100,100.17,1010300,,,,,
100,100.36,1034220,,,,,
100,100.35,1058140,,,,,
100,99.86,1082060,,,,,
100,99.26,1104940,,,,,
100,99.57,1127820,,,,,
100,100.35,1150700,,,,,
100,100.68,1174620,,,,,
100,100.14,1198540,,,,,
100,99.68,1222460,,,,,
100,99.6,1245340,,,,,
100,99.86,1268220,,,,,
100,100.08,1291100,,,,,
100,99.94,1315020,,,,,
100,100.33,1337900,,,,,
100,100.17,1361820,,,,,
100,99.71,1385740,,,,,
100,100.13,1408620,,,,,
100,100.49,1432540,,,,,
100,99.98,1456460,,,,,
100,99.37,1479340,,,,,
100,99.66,1502228,,,,,
100,100.42,1525100,,,,,
100,100.74,1549020,,,,,
100,100.19,1572940,,,,,
100,99.24,1596860,,,,,
100,99.24,1619740,,,,,
100,100.07,1642620,,,,,
100,100.92,1666552,,,,,
100,100.83,1690460,,,,,
100,99.79,1714380,,,,,
100,99.2,1737260,,,,,
100,99.52,1760140,,,,,
100,100.3,1783020,,,,,
100,100.15,1806940,,,,,
100,99.69,1830860,,,,,
100,99.6,1853740,,,,,
100,99.87,1876620,,,,,
100,100.6,1899500,,,,,
100,100.89,1923420,,,,,
100,100.32,1947340,,,,,
100,99.35,1971260,,,,,
100,99.33,1994140,,,,,
100,100.14,2017020,,,,,
100,100.5,2040940,,,,,
100,99.99,2064860,,,,,
100,99.37,2087740,,,,,
100,99.67,2110620,,,,,
100,100.43,2133500,,,,,
100,100.26,2157420,,,,,
100,99.78,2181340,,,,,
100,99.68,2204220,,,,,
100,99.93,2227100,,,,,
100,100.15,2249980,,,,,
100,99.99,2273900,,,,,
100,99.87,2296780,,,,,
100,100.09,2319660,,,,,
100,100.46,2343580,,,,,
100,99.95,2367508,,,,,
100,99.85,2390380,,,,,
100,100.08,2413260,,,,,
100,99.93,2437180,,,,,
100,99.81,2460060,,,,,
100,100.04,2482940,,,,,
100,100.42,2506860,,,,,
100,100.4,2530788,,,,,
100,99.9,2554700,,,,,
100,99.3,2577580,,,,,
100,99.61,2600460,,,,,
100,100.38,2623340,,,,,
100,100.22,2647260,,,,,
100,99.74,2671180,,,,,
100,100.16,2694060,,,,,
100,100.52,2717980,,,,,
100,100,2741900,,,,,
100,99.56,2765820,,,,,
100,99.5,2788700,,,,,
100,99.77,2811580,,,,,
100,100.52,2834460,,,,,
100,100.34,2858380,,,,,
100,99.85,2882300,,,,,
100,99.74,2905180,,,,,
100,99.47,2928060,,,,,
100,99.75,2950940,,,,,
100,100.5,2973820,,,,,
100,100.81,2997740,,,,,
100,100.25,3021660,,,,,
100,99.28,3045580,,,,,
100,99.28,3068460,,,,,
100,100.1,3091340,,,,,
100,100.47,3115260,,,,,
100,100.45,3139180,,,,,
100,99.94,3163100,,,,,
100,99.33,3185980,,,,,
100,99.63,3208860,,,,,
100,100.4,3231740,,,,,
100,100.72,3255660,,,,,
100,100.18,3279580,,,,,
100,99.71,3303500,,,,,
100,99.62,3326380,,,,,
100,99.88,3349260,,,,,
100,100.1,3372140,,,,,
100,99.96,3396060,,,,,
100,100.34,3418940,,,,,
100,100.19,3442860,,,,,
100,99.72,3466780,,,,,
100,100.14,3489660,,,,,
100,100.5,3513580,,,,,
100,99.99,3537500,,,,,
100,99.37,3560380,,,,,
100,99.67,3583260,,,,,
100,99.91,3606152,,,,,
100,100.13,3629020,,,,,
100,100.5,3652940,,,,,
100,100.47,3676868,,,,,
100,99.96,3700780,,,,,
100,99.35,3723660,,,,,
100,99.65,3746540,,,,,
100,100.41,3769432,,,,,
100,100.24,3793340,,,,,
100,99.77,3817260,,,,,
100,99.67,3840140,,,,,
100,99.92,3863020,,,,,
100,100.14,3885900,,,,,
100,99.99,3909820,,,,,
100,100.37,3932712,,,,,
100,100.2,3956620,,,,,
100,99.74,3980540,,,,,
100,99.65,4003420,,,,,
100,99.9,4026300,,,,,
100,100.12,4049180,,,,,
100,99.97,4073100,,,,,
100,100.36,4095980,,,,,
100,100.2,4119900,,,,,
100,99.73,4143820,,,,,
100,100.15,4166700,,,,,
100,100.51,4190620,,,,,
100,99.99,4214540,,,,,
100,99.38,4237420,,,,,
100,99.67,4260300,,,,,
100,100.43,4283180,,,,,
100,100.26,4307100,,,,,
100,99.78,4331020,,,,,
