,CB1,CB2,CB3,CB4,CB5,CB6,CB7,,,,
,467,48,48,39,39,37,39,,,,
,468,52,37,39,39,37,40,,,,
,468,45,37,39,40,32,26,,,,
,469,41,40,40,26,26,30,,,,
,468,45,37,39,39,33,40,,,,
,466,48,48,48,39,37,39,,,,
,450,34,34,38,48,48,39,,,,
,464,52,37,39,39,37,40,,,,
,465,41,40,26,26,30,35,,,,
,463,40,40,26,27,31,38,,,,
,464,48,48,39,39,37,39,,,,
,465,40,26,26,30,34,38,,,,
,451,26,27,34,38,48,48,,,,
,468,45,37,39,40,32,26,,,,
,458,39,48,48,48,37,39,,,,
,458,40,26,30,34,38,48,,,,
,468,45,41,40,26,26,30,,,,
,464,52,39,39,39,41,40,,,,
,458,42,48,48,39,37,39,,,,
,446,30,30,38,38,48,48,,,,
,456,40,26,30,34,38,48,,,,
,463,40,26,26,30,34,38,,,,
,464,52,39,39,39,37,40,,,,
,446,30,30,38,38,48,48,,,,
,446,30,31,38,38,48,48,,,,
,447,30,31,38,48,48,48,,,,
,468,45,39,40,40,26,27,,,,
,466,48,48,39,39,37,39,,,,
,466,45,39,39,39,33,40,,,,
,469,45,41,40,26,26,30,,,,
,463,40,26,30,34,35,48,,,,
,458,34,38,48,48,37,39,,,,
,467,48,37,39,39,37,40,,,,
,469,41,40,40,26,26,34,,,,
,458,34,38,48,48,37,39,,,,
,468,52,39,39,39,33,40,,,,
,461,40,26,30,34,35,48,,,,
,466,48,48,39,39,37,39,,,,
,467,41,40,26,26,30,34,,,,
,467,40,26,26,30,34,38,,,,
,451,26,30,34,38,48,48,,,,
,458,38,38,48,48,37,39,,,,
,471,41,40,26,27,30,38,,,,
,468,52,39,39,39,33,40,,,,
,458,35,38,48,48,37,39,,,,
,504,40,32,26,27,31,38,,,,
,495,35,38,48,48,37,39,,,,
,472,26,26,31,35,38,48,,,,
,473,41,41,40,26,26,31,,,,
,487,52,37,39,39,33,40,,,,
,456,48,48,39,39,37,41,,,,
,473,52,37,39,39,37,40,,,,
,530,45,37,41,40,32,26,,,,
,554,41,32,26,30,31,38,,,,
,542,34,26,34,38,35,48,,,,
,517,42,38,48,48,37,39,,,,
,394,112,48,39,39,37,41,,,,
,358,218,48,48,39,37,30,,,,
,53,357,39,40,40,26,39,,,,
,40,322,27,34,38,38,48,,,,
,41,352,40,26,30,34,38,,,,
,45,371,40,40,26,26,34,,,,
,39,391,45,41,40,26,26,,,,
,48,388,45,39,39,41,40,,,,
,38,362,48,48,39,37,39,,,,
,48,368,45,39,39,41,40,,,,
,45,357,41,40,26,26,30,,,,
,40,345,26,30,34,35,48,,,,
,26,351,34,38,38,48,48,,,,
,38,370,48,48,39,37,39,,,,
,52,373,45,39,40,32,26,,,,
,40,354,30,34,38,38,48,,,,
,48,373,52,39,39,37,41,,,,
,41,362,26,27,34,35,48,,,,
,48,374,48,39,39,37,39,,,,
,41,385,40,26,27,31,38,,,,
,45,385,40,26,26,30,35,,,,
,45,385,41,40,26,26,31,,,,
,45,385,41,40,26,26,34,,,,
,34,382,48,48,48,37,39,,,,
,45,385,41,40,26,26,30,,,,
,41,381,40,26,26,30,38,,,,
,48,384,45,39,39,37,40,,,,
,26,371,34,38,38,48,48,,,,
,45,385,41,41,40,26,26,,,,
,41,376,26,26,30,34,38,,,,
,52,385,45,39,40,32,26,,,,
,42,384,48,48,39,37,39,,,,
,26,371,34,38,38,48,48,,,,
,45,385,40,40,26,27,34,,,,
,52,388,45,39,39,33,40,,,,
,42,384,48,52,39,37,39,,,,
,34,382,42,48,48,37,39,,,,
,26,371,34,38,38,48,48,,,,
,48,388,45,39,39,33,40,,,,
,40,367,27,34,35,38,48,,,,
,45,385,40,40,26,26,34,,,,
